period,source_url,national_cpi_yoy_pct,national_cpi_mom_pct,urban_cpi_yoy_pct,urban_cpi_mom_pct,rural_cpi_yoy_pct,rural_cpi_mom_pct,urban_food_yoy_pct,urban_food_mom_pct,rural_food_yoy_pct,rural_food_mom_pct,urban_non_food_yoy_pct,urban_non_food_mom_pct,rural_non_food_yoy_pct,rural_non_food_mom_pct,spi_yoy_pct,spi_mom_pct,wpi_yoy_pct,wpi_mom_pct
2024-09,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,6.9,-0.5,9.3,-0.5,3.6,-0.5,1.7,-0.8,-0.9,-1,15,-0.3,8.4,-0.1,9.2,0.2,1.9,-1.1
2024-10,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,7.2,1.2,9.3,1.1,4.2,1.5,2.7,1.6,0.6,2.2,14.2,0.7,8,0.8,9.7,0.6,3.9,0
2024-11,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,4.9,0.5,5.2,0.5,4.3,0.5,1.7,-0.2,-0.2,0.2,7.8,1,9.1,0.8,7.3,1,2.3,-0.1
2024-12,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,4.1,0.1,4.4,-0.1,3.6,0.3,2.5,0.1,-0.2,0.1,5.7,-0.2,7.6,0.5,4.2,0.8,1.9,-0.4
2025-01,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,2.4,0.2,2.7,0.2,1.9,0.2,-0.6,-0.3,-2.9,-0.4,5,0.5,7,0.9,0.7,-1.4,0.6,0.2
2025-02,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,1.5,-0.8,1.8,-0.7,1.1,-1.1,-0.9,-1.8,-4.3,-2.5,3.6,0.1,6.6,0.3,-0.2,-1.6,-0.7,-0.2
2025-03,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,0.7,0.9,1.2,0.8,0,1.1,-1.7,1.6,-5.4,1.6,3.1,0.2,5.6,0.5,-2.3,-0.1,-1.6,0.3
2025-04,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,0.3,-0.8,0.5,-0.7,-0.1,-1,-1.9,-1.6,-4.6,-1.8,2.2,-0.1,4.4,-0.4,-3.6,-2.1,-2.2,-1.3
2025-05,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,3.5,-0.2,3.5,0.1,3.4,-0.5,5.3,0.6,2.1,-1,2.4,-0.3,4.6,-0.1,-0.6,-1,0.4,0
2025-06,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,3.2,0.2,3,0.1,3.6,0.5,4.2,-0.6,2.4,0.1,2.2,0.5,4.7,0.8,-1.9,0,0.6,0.6
2025-07,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,4.1,2.9,4.4,3.4,3.5,2.2,2.2,2.4,1.5,2.7,5.9,4.1,5.4,1.6,-0.9,3.1,-0.5,1.2
2025-08,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,3.1,-0.6,3.5,-0.7,2.5,-0.5,-0.5,-1.3,-0.5,-0.7,6.1,-0.3,5.3,-0.3,2.6,3.2,-1,-0.2
2025-09,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,5.8,2.1,5.7,1.6,5.9,2.8,4.4,4,6,5.5,6.5,0.1,5.8,0.4,4.5,2,0.6,0.5
2025-10,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,6.2,1.7,6,1.4,6.6,2.1,4.5,1.7,6.8,3,7,1.1,6.4,1.3,4.8,0.9,1.1,0.5
2025-11,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,6.1,0.4,6.1,0.5,6.3,0.2,5,0.3,5.9,-0.7,6.7,0.7,6.7,1,4.2,0.4,1.1,-0.2
2025-12,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,5.6,-0.4,5.8,-0.4,5.4,-0.6,3.2,-1.7,3.8,-1.9,7.5,0.5,6.9,0.7,2.5,-0.8,0.6,-0.9
2026-01,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,5.8,0.4,5.8,0.2,5.8,0.6,3.3,-0.2,4.7,0.4,7.4,0.5,6.9,0.8,3.3,-0.8,0.2,-0.2
2026-02,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,7,0.3,6.8,0.3,7.3,0.3,4.4,-0.8,6.8,-0.5,8.3,0.9,7.7,1,4.8,-0.1,1,0.7
2026-03,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,7.3,1.2,7.4,1.3,7.2,1,2.9,0.1,4.5,-0.6,10.3,2.1,9.7,2.4,5.6,0.7,6.7,5.9
2026-04,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,10.9,2.5,11.1,2.7,10.6,2.1,6.9,2.3,7.3,0.9,13.8,3,13.6,3.2,10.1,2,13.6,5.1
2026-05,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,11.7,0.5,11.8,0.7,11.5,0.3,6.5,0.2,8.5,0.2,15.2,1,14.2,0.4,12,0.7,12.7,-0.8
2026-06,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Monthly-Review-June-2026.pdf,11.1,-0.3,11.2,-0.5,10.9,0,8.2,1,9.4,0.9,13.1,-1.4,12.3,-0.9,12.8,0.7,10.7,-1.2
