period,annex_pdf_url,report_pdf_url,annex_excel_url,report_excel_url,parsed_city_item_price_rows,parsed_summary_rows,parsed_item_change_rows,parse_error
2026-07-02,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_02.07.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-SummarySPI-Report_02.07.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_02.07.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.07.2026.xlsx,2601,6,51,
2026-06-18,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_18.06.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_18.06.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_18.06.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-18.06.2026.xlsx,2601,6,51,
2026-06-11,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_11.06.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_11.06.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_11.06.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-11.06.2026.xlsx,2601,6,51,
2026-06-04,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_04.06.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_04.06.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_04.06.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-04.06.2026.xlsx,2601,6,51,
2026-05-21,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_21.05.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_21.05.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_21.05.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-21.05.2026.xlsx,2601,6,51,
2026-05-14,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_14.05.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Eexecutive-Summary-SPI-Report_14.05.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_14.05.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-14.05.2026.xlsx,2601,6,51,
2026-05-07,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_07.05.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_07.05.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_07.05.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-07.05.2026.xlsx,2601,6,51,
2026-04-30,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_30.04.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_30.04.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_30.04.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-30.04.2026.xlsx,2601,6,51,
2026-04-23,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_23.04.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_23.04.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_23.04.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-23.04.2026.xlsx,2601,6,51,
2026-04-16,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_16.04.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_16.04.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_16.04.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-16.04.2026.xlsx,2601,6,51,
2026-04-09,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_09.04.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_09.04.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_09.04.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-09.04.2026.xlsx,2601,6,51,
2026-04-02,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_02.04.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_02.04.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_02.04.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-02.04.2026.xlsx,2601,6,51,
2026-03-26,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_26.03.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Executive-Summary-SPI-Report_26.03.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_26.03.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-26.03.2026.xlsx,2601,6,51,
2026-03-18,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_18.03.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Executive-Summary-SPI-Report_18.03.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_18.03.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-18.03.2026.xlsx,2601,6,51,
2026-03-11,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_11.03.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_11.03.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_11.03.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Report-11.03.2026.xlsx,2601,6,51,
2026-03-05,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_05.03.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_05.03.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_05.03.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-05.03.2026.xlsx,2601,6,51,
2026-02-26,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_26.02.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_26.02.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_26.02.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-26.02.2026.xlsx,2601,6,51,
2026-02-19,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_19.02.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_20.02.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_19.02.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-19.02.2026.xlsx,2601,6,51,
2026-02-12,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_12.02.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Executive-Summary-SPI-Report_12.02.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_12.02.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-12.02.2026.xlsx,2601,6,51,
2026-02-04,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_04.02.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_04.02.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_04.02.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-04.02.2026.xlsx,2601,6,51,
2026-01-29,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_29.01.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Executive-Summary-SPI-Report_29.01.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_29.01.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-29.01.2026.xlsx,2601,6,51,
2026-01-22,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_22.01.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Executive-Summary-SPI-Report_22.01.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_22.01.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-22.01.2026.xlsx,2601,6,51,
2026-01-15,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_15.01.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Executive-Summary-SPI-Report_15.01.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_15.01.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-15.01.2026.xlsx,2601,6,51,
2026-01-08,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_08.01.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Executive-Summary-SPI-Report_08.01.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_08.01.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Report-08.01.2026.xlsx,2601,6,51,
2026-01-01,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_01.01.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Excecutive-Summary-SPI-Report_01.01.2026.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_01.01.2026.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-01.01.2026.xlsx,2601,6,51,
2025-12-24,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_24.12.2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Executive-Summary-SPI-Report_24.12.2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_24.12.2025.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-24.12.2025.xlsx,2601,6,51,
2025-12-18,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_18.12.2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Excecutive-Summary-SPI-Report_18.12.2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_18.12.2025.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Report-18.12.2025.xlsx,2601,6,51,
2025-12-11,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_11.12.2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Executive-Summary-SPI-Report_-11.12.2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_11.12.2025.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-11.12.2025.xlsx,2601,6,51,
2025-12-04,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_04-12-2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Executive-Summary-SPI-Report_04-12-2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_04-12-2025.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Report-04.12.2025.xlsx,2601,6,51,
2025-11-27,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_27.11.2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Executive-Summary-SPI-Report_27.11.2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_27.11.2025.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-27.11.2025.xlsx,2601,6,51,
2025-11-20,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_20.11.2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Executive-Summary-SPI-Report_-20.11.2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_20.11.2025.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-20.11.2025.xlsx,2601,6,51,
2025-11-13,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_13.11.2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Executive-Summary-SPI-Report_-13.11.2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_13.11.2025.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-13.11.2025.xlsx,2601,6,51,
2025-11-06,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_06.11.2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Executive-Summary-SPI-Report_-06.11.2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_06.11.2025.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-06.11.2025.xlsx,2601,6,51,
2025-10-30,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_30.10.2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Executive-Summary-SPI-Report_30.10.2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_30.10.2025.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/3.-SPI-Report-30.10.2025.xlsx,2601,6,51,
2025-10-23,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_23.10.2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Executive-Summary-SPI-Report_-23.10.2025.pdf,https://www.pbs.gov.pk/wp-content/uploads/2020/07/Annex_23.10.2025.xlsx,https://www.pbs.gov.pk/wp-content/uploads/2020/07/SPI-Executive-Summary-SPI-Report_-23.10.2025.xlsx,2601,6,51,
